matiere,cours,question n,source,texte de la question,option A,option B,option C,option D,option E,reponse
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,6,"(Juillet 2002, [niveau1])",La différenciation sexuelle :,Est sous la dépendance de facteurs hormonaux,Est contrôlé par un gène unique SRY chez le garçon,Met en jeu des gènes situés sur les chromosomes 11 et 17,Fait intervenir un gène sur le chromosome X,Est un phénomène d'épistasie,ACDE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,7,"(Juillet 2002, [niveau1])",Le syndrome de Muller : persistance des canaux anti-mullérienne,Est du à une anomalie de l'hormone localisé sur le chromosome 19,Est contrôlé par un gène chromosomique,Est en rapport avec un sexe féminin,Entraîne la présence d'un utérus,Est caractérisé par un taux normal de testostérone,ABDE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,8,"(Mars 2001, [niveau1])",La différenciation sexuelle dans l'espèce humaine :,Est sous le contrôle des chromosomes sexuels,Nécessite la présence du gène SRY pour donner le sexe masculin,Met en jeu des gènes autosomiques,Implique l'intervention du gène XIST,Dépend des facteurs hormonaux,ABCE
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,9,"(Mars 1996, [niveau1])",Le phénomène d'inactivation de l'X ou lyonisation :,Compense le déséquilibre génique entre les deux sexes,Touche un des deux chromosomes X au hasard,Siège au niveau d'un centre situé sur le bras long du chromosome X inactif,Concerne uniquement le chromosome maternel,Se fait à un stade précoce du développement de l'embryon,ABEC
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,10,"(Mars 1996, [niveau1])",Le gène SRY est un gène :,Qui est le gène responsable initial de la masculinisation de l'organisme,Qui est situé sur le bras court du chromosome Y,Qui agit en interaction avec d'autres gènes,Qui est localisé dans la région pseudo autosomique,Qui a un rôle dans la féminisation de la gonade primitive,ABC
thème 13,Controle genetique de la differenciation sexuelle et processus de lyonisation,11,"(1995, [niveau1])",La lyonisation ou inactivation de l'X :,A lieu vers les premiers jours de la vie,Se fait au hasard sur l'un des deux chromosomes X,Est due à une interaction entre autosomes et chromosome X,A lieu dans toutes les cellules,A lieu dans les cellules germinales,ABD
thème 13,Appareil reproducteur male ,1,"(Janvier 2024, [niveau1])","Chez un homme adulte, la sécrétion de GnRH est inhibée par:",TTT,LH,GH prolactine,Prolactine,inhibine,A
thème 13,Appareil reproducteur male ,2,"(Janvier 2024, [niveau1])",La testostérone :,Est sécrétée par les cellules de Sertoli,Est caractérisée par une sécrétion cyclique,A un transporteur spécifique sécrété par les cellules de Sertoli,Induit la différenciation sexuelle masculine au cours de la vie fœtale,Induit le développement de la musculature pendant la période pubertaire,CDE
thème 13,Appareil reproducteur male ,4,"(Janvier 2011, [niveau1])","Chez l'homme, la testostérone :",Est utile pour l'ostéoformation,Exerce toujours un rétrocontrôle négatif sur l'axe hypo-hypophsaire,Est essentielle chez le fœtus mâle pour la différenciation sexuelle,Stimule la sécrétion d'inhibine,Inhibe l'activité des glandes sébacées,ABC
thème 13,Appareil reproducteur male ,11,"(Février 2000, [niveau1])",La cellule de Sertoli :,Se différencie à partir de l'épithélium coelomique,Synthétise l'hormone anti-Müllerienne,Joue un rôle dans la synthèse de l'androgen binding protein,Permet la différenciation des spermatozoïdes en synthétisant la testostérone,Est liée aux spermatides par des desmosomes,ABC
thème 13,Appareil reproducteur male ,16,"(Janvier 2024, [niveau1])",La testostérone :,Commande la fonction des cellules de Sertoli,Exerce un effet catabolisant au niveau de l'os et du muscle,N'a pas d'effet sur la spermatogenèse,Est responsable de l'apparition de la calvitie,Toutes les propositions sont exactes,D
thème 13,La sexualité,1,"(Janvier 2023, [niveau1])",La sexualité :,Comprend une période réfractaire pour l'homme et la femme,Commence par une phase d'excitation d'amplitude constante quel que soit la stimulation,Commence par une phase d'excitation de durée constante,Peut être déclenchée par des stimuli visuels,Commence à partir de la puberté,DE
thème 13,La sexualité,2,"(Janvier 2023, [niveau1])",Au cours de l'orgasme :,La personne atteint l'acmé du plaisir sexuel,Une sensation irrépressible d'éjaculation déclenchée l'orgasme masculin suivi de l'émission du sperme,Il y a désengorgement sanguin des organes génitaux,Correspond à la deuxième phase de la réponse sexuelle,Les hommes peuvent avoir des orgasmes multiples et successifs,AB
thème 13,La sexualité,3,"(Janvier 2012, [niveau1])",Le stade anal (une ou plusieurs réponses sont justes) :,S'étend entre 1 et 3 ans,S'étend entre 3 ans et 5 ans,Est la phase pendant laquelle la zone érogène prédominante est la région buccale,Est caractérisé par un glissement progressif de la passivité à l'activité,Donne une base pour le développement de l'autonomie quand sa résolution est réussie,DE
thème 13,La sexualité,4,"(Janvier 2012, [niveau1])",La période de latence (une ou plusieurs réponses sont justes) :,S'étend de 5 ans à 11 ans,Est caractérisée par une accentuation des pulsions sexuelles,Est caractérisée par un meilleur contrôle des pulsions instinctuelles,Est la phase pendant laquelle il y a une consolidation de l'identité sexuelle,Est la phase pendant laquelle les besoins de l'enfant sont centrés sur la bouche,ACD
thème 13,La sexualité,6,"(Juillet 2004, [niveau1])",Dans l'élaboration de l'identité sexuelle interviennent :,Les relations avec les membres de la famille,Le sexe biologique,Le comportement sexuel,La prise de conscience dans la vie psychique de la spécificité masculine ou féminine,Des phénomènes culturels,ADE
thème 13,La sexualité,7,"(Mars 2002, [niveau1])","Parmi les propositions suivantes, quelles sont celles qui représentent les mécanismes physiologiques fondamentaux de la réaction sexuelle ?",L'hypertonie,La vasoconstriction,La vasocongestion,La vasodilatation,La myotonie,CE
thème 13,La sexualité,9,"(Juillet 2000, [niveau1])",Une réaction sexuelle qui aboutit à la réalisation de l'accouplement hétérosexuel exige :,L'usage d'organes particuliers,Un état anatomique convenable,Une ambiance chaleureuse,Une séquence motrice particulière,Une bonne entente,ABD
thème 13,La sexualité,10,"(Juillet 2000, [niveau1])",La phase d'excitation chez l'homme comporte :,La sécrétion des glandes du Cowper,La contraction de l'urètre spongieux,Une tumescence avec élévation complète des testicules,Une érection du pénis,Une élévation du scrotum,D
thème 13,La sexualité,11,"(Mars 1999, [niveau1])",La sexualité humaine :,Est soumise aux contraintes socio-historiques et culturelles,Débute dès l'enfance,Est marquée par son immuabilité et sa rigidité,Dépend uniquement de l'instinct de reproduction,Dépend de l'organisation psychoaffective,ABE
thème 13,La sexualité,13,"(Juillet 1999, [niveau1])",La sexualité humaine est soumise :,À l'organisation psychoaffective de l'individu,Aux contraintes socio-historiques,Aux nécessités biologiques,Aux variations saisonnières,Aucune reponse n’est juste,ABC
thème 13,La sexualité,14,"(Juillet 2000, [niveau1])",La phase d'orgasme se caractérise chez l'homme par :,La contraction de l'urètre spongieux,La sécrétion des glandes de Cowper,L'éjaculation,La sécrétion des glandes de Bartholin,La possibilité d'un nouvel orgasme,BC
thème 13,La sexualité,15,"(Juillet 2000, [niveau1])",La sexualité animale :,Sert marquée par sa diversité et sa singularité,Est soumise aux exigences biologiques,Est marquée par sa diversité,Dépend des contraintes socioculturelles,Dépend de l'organisation psychoaffective,AC
thème 13,La sexualité,16,"(Juillet 2000, [niveau1])",La phase de plateau comporte :,La fermeture des clapets pour empêcher le retour sanguin,La lubrification vaginale,La contraction utérine,L'afflux de sang dans les corps caverneux,La sécrétion des glandes de Bartholin,A
thème 13,La sexualité,19,"(Mars 1999, [niveau1])",Le centre de l'érection se situe dans la moelle épinière de :,D11 à L2,S2 à S4,L1 à L3,D8 à D10,D7 a D11,B
thème 13,Histologie de l appareil genital feminin ,1,(Janvier 2024),Ocytocine :,Possède des récepteurs sur les cellules myoépithéliales des glandes mammaires,Agit sur récepteurs utérines dont la synthèse est induite par les œstrogènes,Stimule directement la croissance des alvéoles des glandes mammaires,Inhibe sa propre sécrétion par RC- pendant l'allaitement,Stimule la dilatation du col utérin au cours de l'accouchement,AB
thème 13,Histologie de l appareil genital feminin ,2,(Janvier 2024),Le corps jaune :,Diamètre = 30mm,Est richement vascularisé,Résulte de la transformation de la paroi folliculaire sous l'action de FSH,Est formé par deux cellules endocrines,"En cas de fécondation, il involue en deux mois","B/Diamètre = 15mm, B/sous l'action de LH, D/cellules lutéales et thécales, E/dans un mois"
thème 13,Histologie de l appareil genital feminin ,3,(Janvier 2021),Choisir la (les) bonne(s) réponse(s) :,Les follicules primordiaux peuvent se transformer en follicule primaire même avant la puberté,Les étapes de développement folliculaire durent 7 jours,"Les sécrétions endocrines de l'ovaire sont produites par des cellules situées au niveau de l'hile, corps jaune, stroma",Le follicule plissé est la forme involutive du follicule cavitaire jeune,Aucune réponse n’est juste,Pas de reponse
thème 13,Histologie de l appareil genital feminin ,4,(Janvier 2012),Soient les propositions suivantes se rapportant à la région isthmique de la trompe utérine :,Comporte une muqueuse à axe conjonctif grêle et très ramifié,Son épithélium comporte des cellules ciliées,Son épithélium comporte des cellules caliciformes à mucus,Représente le siège tubulaire le plus fréquent des grossesses extra-utérines,Sa musculeuse est formée de deux couches de cellules,Pas de reponse
thème 13,Histologie de l appareil genital feminin ,5,(Mars 2002),"Dans un ovaire de fillette avant la puberté, quel(s) type(s) de follicule(s) peut-on observer ?",Follicule primordial,Follicule primaire,Follicule cavitaire,Follicule pré-ovulatoire,Follicule déhiscent,AB
thème 13,Histologie de l appareil genital feminin ,6,(Février 2000),Choisir la (les) bonne(s) réponse(s) :,Le follicule kystique est limité par une thèque interne et une thèque externe épaissies et fibreuses,Le follicule dégénératif est la forme involutive du follicule primordial,Le follicule plissé est la forme involutive du follicule cavitaire jeune,Le follicule kystique participe à la glande thécale,Le follicule primordial se forme après la naissance,ABD
thème 13,Histologie de l appareil genital feminin ,7,(Février 2000),Choisir la (les) bonne(s) réponse(s) :,Il existe un décalage de 16 jours entre le début d'un cycle spermatogénétique et le début du cycle suivant,"Au cours de la spermatogenèse, la méiose dure 27 jours",La spermiation est l'étape qui définit la transformation des spermatides en spermatozoïdes,La barrière hémato-testiculaire est constituée par la membrane propre et la cellule de Sertoli,Le rendement spermatogénétique est de 60 à 70%,ADE
thème 13,Histologie de l appareil genital feminin ,8,(Février 2000),Choisir la (les) bonne(s) réponse(s) :,La phase de réparation de l'endomètre se situe entre le 8ème et le 10ème jour du cycle,Le test de Schiller permet d'apprécier la richesse de l'endocol en mucus,Les follicules ovariens arrêtent tous leur croissance au 14ème jour du cycle,La membrane propre du testicule comporte des cellules contractiles,La thèque externe du follicule ovarien comporte des cellules endocrines,AB
thème 13,Histologie de l appareil genital feminin ,9,(Juillet 1999),Au cours de la maturation du follicule primordial et de sa transformation en follicule de De Graaf :,Le cytoplasme de l'ovocyte augmente de taille,La membrane de Slavjansky apparaît autour de l'ovocyte,Toutes les cellules folliculeuses sont arrondies ou cubiques,Des capillaires pénètrent dans la granulosa,Une thèque fibreuse délimite en périphérie le follicule,AE
thème 13,Histologie de l appareil genital feminin ,10,(Juillet 1999),Choisir la (les) bonne(s) réponse(s) :,La hauteur de l'endomètre augmente au cours de la phase oestroprogestative,Les glandes endométriales sont tubuleuses droites au cours de la phase proliférative,Les artérioles spiralées sont nombreuses à la phase oestrogénique,La gouttelette glycogénique des cellules endométriales est un signe d'imprégnation progestative,Les épines conjonctives sont constituées de cellules décidualiformes,ABD
thème 13,Histologie de l appareil genital feminin ,11,(Juillet 1999),Indiquer parmi les cellules ovariennes suivantes celles qui participent à la constitution du corps jaune :,Cellules de la granulosa,Cellules de la thèque interne,Cellules de la thèque externe,Cellules de la corona radiata,Cellules endocrines de la zone médullaire,AB
thème 13,Histologie de l appareil genital feminin ,12,,Choisir la (les) bonne(s) réponse(s) :,Les glandes de l'exocol sécrètent du glycogène,Les glandes endocervicales sécrètent du glycogène,Les glandes endocervicales sont tubuleuses contournées,Les glandes endométriales comportent des cellules ciliées,Les glandes endométriales sont tubuleuses droites au cours de la phase proliferative,AE
thème 13,Histologie de l appareil genital feminin ,13,,Choisir la (les) bonne(s) réponse(s) :,Les follicules dégénératifs sont des corps jaunes vieillissants,Les follicules déhiscents se transforment en corps jaunes,Les follicules kystiques ont une thèque interne épaissie et fibreuse,Les follicules primordiaux ne se forment pas après la naissance,Les follicules cavitaires participent à la glande thécale,BDE
thème 13,Histologie de l appareil genital feminin ,15,,Indiquer la (les) structure(s) du follicule de De Graaf qui participe(nt) à la constitution du corps jaune :,Cellules de la granulosa,Capillaires de la granulosa,Cellules de la thèque interne,Cellules de la thèque externe,Capillaires de la thèque externe,ABC
thème 13,Histologie de l appareil genital feminin ,18,,choisissez les réponses exactes,Les follicules dégénératifs sont des follicules de De Graaf rompus,Les follicules kystiques ont une thèque externe épaissie et fibreuse,Les follicules déhiscents se transforment en corps jaune,Les follicules primordiaux se forment après la naissance,Les follicules cavitaires participent à la glande thécale,CE
thème 13,Histologie de l appareil genital feminin ,19,,"Au jour 4 du cycle menstruel chez une femme jeune, l'ovaire pourrait contenir :",Des follicules primaires,Des ovogonies,Des corpus albicans,Des follicules atrésiques,Un corps jaune en développement,ACD
thème 13,Histologie de l appareil genital feminin ,20,,choisissez les réponses exactes,Les cellules lutéales granuleuses dérivent des cellules de la granulosa,La granulosa d'un follicule secondaire est richement vascularisée,La membrane propre du testicule renferme des cellules contractiles,Le clitoris renferme des corps caverneux et spongieux,Les glandes de Littré sont des glandes intra-épithéliales,AC
thème 13,Histologie de l appareil genital feminin ,21,( [niveau1]),"A jour 13 d'un cycle menstruel chez une femme en activité génitale, l'ovaire peut contenir :",Des follicules primaires,Des follicules primordiaux,Des follicules atrésiques,Un follicule de De Graaf,Des ovogonies,D
thème 13,Histologie de l appareil genital feminin ,22,( [niveau1]),La thèque externe d'un follicule ovarien renferme :,Des capillaires,Des cellules endocrines,Des fibroblastes,Des fibres élastiques,Des fibres de collagène,ABCD
thème 13,Histologie de l appareil genital feminin ,23,( [niveau1]),Le vagin :,Son épithélium est de type pavimenteux stratifié kératinisé,Son épithélium subit une involution chez la femme ménopausée,Son chorion est riche en fibres élastiques,Son épithélium subit des transformations au cours du cycle menstruel,Son épithélium fabrique du mucus,BCD
thème 13,Histologie de l appareil genital feminin ,24,( [niveau1]),choisissez les réponses exactes,L'endomètre en phase proliferative renferme des cellules décidualiformes,"En phase de transformation glandulaire, les glandes endométriales sont tubuleuses droites à lumière régulière",En phase de sécrétion active les cellules des glandes endométriales renferment une gouttelette de glycogène en position apicale,Les glandes cervicales sont des glandes séreuses,En phase de réparation les artères décrivent un trajet sinueux entre les glandes endométriales,C
thème 13,Histologie de l appareil genital feminin ,25,( [niveau1]),Le sang de la menstruation est :,Rouge,Noirâtre,Coagulé,Incoagulable,Aucune réponse n’est juste,BD
thème 13,Histologie de l appareil genital feminin ,26,( [niveau1]),Les trompes :,Ont un épithélium prismatique stratifié,Subissent des transformations au cours du cycle menstruel,Dérivent du canal de Müller,Assurent la survie de l'oeuf fécondé,Sont le siège d'un péristaltisme,BCDE
thème 13,Histologie de l appareil genital feminin ,27,( [niveau1]),Les glandes endocervicales :,Sont tubuleuses droites,Fabriquent du glycogène,Sont un lieu de stockage des spermatozoïdes,Ont un rôle de lubrification,Sont des glandes séromuqueuses,ACD
thème 13,histologie de l appareil génital masculin,1,"(Janvier 2023, [niveau1])",La cellule de Sertoli:,Est localisée à la périphérie des tubes séminifères,Contient des mitochondries à crêtes tubulaires,Contrôle toutes les étapes de spermatogenèse,Secrète l'hormone antimüllérienne,Ses limites cellulaires sont identifiables dans les coupes histologiques en microscope optique,ACD
thème 13,histologie de l appareil génital masculin,2,"(Janvier 2024, [niveau1])",Soient les propositions suivantes se rapportant sur le rete testis:,Il est bordé par un épithélium pluristratifié,Il fait partie des voies spermatiques intra testiculaires,Il fait suite aux tubes droits et se prolonge par les cônes efférents,C'est un réseau de canaux creusés dans le corps de Highmore,C'est le lieu de la décapacitation des Spermatozoïdes,BD
thème 13,histologie de l appareil génital masculin,3,"(Janvier 2024, [niveau1])",Soit les propositions suivantes se rapportant au testicule:,Le tube séminifère d'un testicule fœtal comporte des spermatocyte 1,Les spermatogonies siègent à l'étage adluminal,Les spermatocytes 2 sont rarement visualisées sur des coupes cytologiques des testicules post pubères,Les cellules de Leydig sont riches en réticulum lisse,La membrane propria constitue la Barrière hémato testiculaire,CDE
thème 13,histologie de l appareil génital masculin,4,"(Janvier 2024, [niveau1])",Chez l'homme l'andropause est caractérisé par :,L'augmentation du taux de GnRH,Un effondrement de taux plasmatique de TTT,Un arrêt de spermatogenèse,Une diminution de la masse musculaire,Une diminution de la masse grasse,ABD
thème 13,histologie de l appareil génital masculin,5,"(Janvier 2024, [niveau1])",Le spermogramme permet d'évaluer les paramètres suivant :,Volume d'éjaculat,Concentration des spermatozoïdes,Quantité d'ADN nucléaire spermatique,Vitalité des spermatozoïdes,Mobilité des spermatozoïdes,ADE
thème 13,histologie de l appareil génital masculin,6,"(Janvier 2024, [niveau1])",Canal déférent :,A une lumière large,A un trajet sinueux,Musculeuse a 3 couches,40cm de long,Son épithélium est d'origine embryologique mésonéphrotique,CDE
thème 13,histologie de l appareil génital masculin,7,"(Janvier 2024, [niveau1])",Concernant les glandes annexes :,La vésicule séminale secrète la phosphatase acide,La prostate est une glande tubuloalvéolaire composée,Le fructose est un produit de sécrétion de la prostate,La glande de cowper sécrète du mucus,Le produit de sécrétion de la vésicule séminale constitue la majeure partie du volume spermatique,BDE
thème 13,histologie de l appareil génital masculin,8,"(Janvier 2011, [niveau1])",Les propositions suivantes se rapportent à la cellule de Sertoli,est localisée en périphérie des tubes séminifères,contient des mitochondries à crêtes tubulaires,est rattachée aux autres cellules de Sertoli voisines par des systèmes de jonction,contrôle toutes les étapes de la spermatogenèse,secrète l'AMH,Pas de réponse.
thème 13,histologie de l appareil génital masculin,9,"(Juillet 2009, [niveau1])",Les propositions suivantes se rapportent au canal déférent :,sa lumière est large,sa musculeuse est formée de trois couches,a un trajet sinueux,mesure environ 40cm de long,son épithélium a une origine embryologique mésonéphrotique,BD
thème 13,histologie de l appareil génital masculin,10,"(Juillet 2009, [niveau1])",Les propositions suivantes se rapportent aux cellules de Sertoli,contiennent des structures protéiques d'allure cristalline,synthétisent l'ABP,synthétisent la déhydrotestostérone,sont très peu représentées dans le testicule foetal,dérivent de l'épithélium coelomique,BCE
thème 13,histologie de l appareil génital masculin,12,"(Mars 2002, [niveau1])","Parmi les cellules suivantes, quelle(s) est (sont) celle(s) qui est (sont) engagée(s) dans la méiose ?",La spermatogonie,Le spermatocyte II,La spermatide,L'ovule du follicule primordial,L'ovule du follicule primaire,BE
thème 13,histologie de l appareil génital masculin,13,"(Mars 2002, [niveau1])",Dans quelle(s) région(s) anatomique(s) se déroule la capacitation des spermatozoïdes ?,Dans les tubes séminifères,Dans l'épididyme,Dans les voies génitales féminines,Dans le canal déférent,Dans l'urètre,C
thème 13,histologie de l appareil génital masculin,15,"(Février 2000, [niveau1])",Choisissez les réponses exactes,Il existe un décalage de 16 jours entre le début d'un cycle spermatogénétique et le début du cycle suivant,"Au cours de la spermatogenèse, la méiose dure 27 jours",La spermiation est l'étape qui définit la transformation des spermatides en spermatozoïdes,La barrière hémato-testiculaire est constituée par la membrane propre et la cellule de Sertoli,Le rendement spermatogénétique est de 60 à 70%,E
thème 13,histologie de l appareil génital masculin,16,"(Février 2000, [niveau1])",La cellule de Sertoli :,Se différencie à partir de l'épithélium coelomique,Synthétise l'hormone anti-Müllerienne,Joue un rôle dans la synthèse de l'androgen binding protein,Permet la différenciation des spermatozoïdes en synthétisant la testostérone,Est liée aux spermatides par des desmosomes,ABC
thème 13,histologie de l appareil génital masculin,17,"(Juillet 1999, [niveau1])",La cellule de Sertoli :,Est unie aux cellules germinales par des desmosomes,Est dépourvue de lysosomes,Contrôle les différentes étapes de la prophase méiotique,Synthétise une protéine de transport des androgènes,Phagocyte une partie du cytoplasme du spermatozoïde au cours de la spermiogénèse,CDE
thème 13,histologie de l appareil génital masculin,18,"(Mars 1999, [niveau1])",La cellule de Leydig :,Est de forme polyédrique,A un cytoplasme toujours éosinophile,Possède un réticulum lisse abondant,Est une cellule binucléée,Renferme des corps amylacés,AC
